# id	left	top	right	bottom	texture_id
[SPRITES]
// da co
20001	16	0	32	15	50
20002	16	0	32	15	50
20003	16	0	32	15	50
// da vs dat 1
20004	0	17	15	32	50
20005	17	17	32	32	50
20006	34	17	49	32	50

// da 2
20007	0	85	15	100	50
20008	17	85	32	100	50
20009	34	85	49	100	50

20010	0	68	15	83	50
//da xanh
21000	102	136	117	151	50

//cot da
20012	2016	0	2048	2048	60
20016	256	0	300	2048	60
20013	210	0	301	2048	60
20014	482	1244	560	1644	60
20015	657	1052	750	1386	60
20017	1185	1635	1313	1696	60
20018	1234	1569	1328	1643	60
20019	1938	1475	1968	1552	60
20020	0	2016	2048	2048	60

21001	800	1889	864	2048	60
21002	860	1900	876	2048	60
21003	880	1935	926	2048	60
21004	925	1964	942	2048	60
21005	941	2000	993	2048	60
21006	1112	1714	1434	2048	60
21007	984	1715	1101	1964	60
21008	921	1715	972	1904	60
21009	849	1715	915	1837	60
21010	1392	1711	1442	2048	60
21011	1437	1775	1454	2048	60
21012	1454	1808	1506	2048	60
21013	1501	1837	1520	2048	60
21014	1517	1872	1550	2048	60
21015	1550	1902	1584	2048	60
21016	1581	1937	1632	2048	60
21017	1630	1964	1647	2048	60
21018	1647	2000	1695	2048	60
21019	1617	1840	1694	1900	60
21020	1664	1900	1684	1910	60
21021	1683	1900	1697	1962	60
21022	1696	1824	1845	1970	60
21023	1840	1781	1870	1970	60
21024	1873	1697	1903	1966	60
21025	1936	1697	2048	2048	60
21026	1874	1632	1904	1695	60
21027	1952	1632	1976	1698	60








//background
20011	0	0	2048	2048	60

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
10000	20001	1000
99999	20011	1000
